Goal,Subgoal,Data Layer,Name,File,Brief Description,Metadata,Start Year,End Year,Reference,url,bib,bib2
RESILIENCE,,coastal area,lsp_area_1km_coast,lsp_area_1km_coast_whi2018.csv,The terrestrial area within 1 km of the shoreline.,The terrestrial or land area within 1 km of the shoreline. The coastline buffer was generated using the State of Hawaiʻi coastline GIS layer available at Hawai’i State Office of Planning Hawai’i Statewide GIS Program Geospatial Data Portal (www.geoportal.hawaii.gov).,,,,http://geoportal.hawaii.gov/datasets/marine-managed-areas-dar?geometry=-165.4%2C19.079%2C-149.745%2C22.671,OfficeofPlanning,
BD,HAB,coastal wetland condition,hab_health_whi,hab_health_whi2018.csv,Wetland condition was calculated based on percent of historical extent.,"Wetland condition was calculated based on percent of historical extent (Van Rees & Reed, 2014).",2014,2014,"Van Rees, CB and Reed M (2014) Wetland loss in Hawaii since human settlement. Wetlands 34:335-350",https://www.researchgate.net/profile/J_Reed/publication/259637070_Wetland_Loss_in_Hawai'i_Since_Human_Settlement/links/54202e380cf241a65a1b0d1c.pdf,VanRees2014,
BD,HAB,coastal wetland extent,hab_extent_whi,hab_extent_whi2018.csv,The area of coastal wetlands (within 1 km of the coastline).,Area of coastal wetlands within 1 km of the coastline. The wetlands data come from the NOAA C-CAP 2010/2011 hi-resolution GIS layer (https://coast.noaa.gov/digitalcoast/tools/lca). Palustrine and estuarine land cover classifications were summarized by West Hawai’i region within the 1km buffer of the coastline. The coastline buffer was generated using the State of Hawaiʻi coastline GIS layer available at Hawai’i State Office of Planning Hawai’i Statewide GIS Program Geospatial Data Portal (www.geoportal.hawaii.gov).,,,NOAA C-CAP 2010/2011,https://coast.noaa.gov/ccapatlas/,NOAA,
BD,HAB,coastal wetland trend,hab_trend_whi,hab_trend_whi2018.csv,The annual percent change in wetland extent based on NOAA C-CAP data comparisons from 2005 to 2010/2011 clipped to 1 km from the shoreline.,The annual percent change in wetland extent based on NOAA C-CAP data comparisons from 2005 to 2010/2011 (https://coast.noaa.gov/digitalcoast/tools/lca) clipped to 1 km from the shoreline.,,,NOAA C-CAP ,https://coast.noaa.gov/ccapatlas/,NOAA,
FP,FIS,commercial coastal pelagic fisheries catch,fis_coast_pelagic_catch,fis_cp_catch_whi2018.csv,Coastal pelagic fish catch (lbs.) reported in the commercial fishery.,"The coastal pelagic fish catch (lbs.) reported in the commercial fishery. Data comes from DLNR DAR by official data request. Annual catch data is reported to species and region (North West Hawaii (DAR commercial reporting blocks 123, 122, 103, and 102) and South West Hawaii (DAR commercial reporting blocks 121, 120, 101, and 100) from 2012-2017. Raw data available: https://github.com/OHI-Science/whi/blob/master/prep_whi/FIS/FW%253a_fisheries_data_request/ciwhiispecies2012_2017.xls.",,,DLNR-DAR,http://dlnr.hawaii.gov/dar/fishing/commercial-fishing/,DLNRDAR,
FP,FIS,commercial reef fisheries catch,fis_reef_catch,fis_reef_catch_whi2018.csv,Reef fish and invertebrate catch (lbs.) reported in the commercial fishery.,"The reef fish and invertebrate catch (lbs.) reported in the commercial fishery. Data comes from DLNR DAR by official data request. Annual catch data is reported to species and region (North West Hawaii (DAR commercial reporting blocks 123, 122, 103, and 102) and South West Hawaii (DAR commercial reporting blocks 121, 120, 101, and 100) from 2012-2016.",,,DLNR-DAR,http://dlnr.hawaii.gov/dar/fishing/commercial-fishing/,DLNRDAR,
RESILIENCE,,conservation districts,lsp_coastal_conservation,lsp_coastal_conservation_whi2018.csv,The area and type of conservation districts within 1km of the coastline.,"The area (km2) and type of conservation districts (Protective (P), Limited (L), Resource (R), General (G), and Special (SS)) within 1 km of the coastline for each West Hawaii Region. Data comes from DLNR-OCCL and is available on the Hawai’i State Office of Planning Hawai’i Statewide GIS Program Geospatial Data Portal (www.geoportal.hawaii.gov).",,,DLNR -OCCL,http://geoportal.hawaii.gov/datasets/marine-managed-areas-dar?geometry=-165.4%2C19.079%2C-149.745%2C22.671,OfficeofPlanning,
PRESSURE,,coral bleaching threat,cc_sst_nearshore,cc_sst_nearshore_whi2018.csv,"Mean degree heating weeks (DHW) for nearshore areas (within 10 km of the coastline), with coral bleaching expected after 4 DHW.  Scores of 1 indicate that coral bleaching is expected or occurred. ","Mean degree heating weeks (DHW) for nearshore areas (within 10 km of the coastline), with a coral bleaching threshold of 4 DHW. Scores of 1 indicate that coral bleaching is expected or occurred. Data acquired from the NOAA Coral Reef Watch (https://coralreefwatch.noaa.gov/satellite/bleaching5km/index_5km_dhw.php).",,,NOAA Coral Reef Watch,https://coralreefwatch.noaa.gov/satellite/bleaching5km/index_5km_dhw.php,NOAASateliteandInformationService,
TR,,environmental protection,t_env_sus,t_env_sus_whi2018.csv,The percent of nearshore areas and priority watersheds protected.,"The percent of nearshore areas and priority watersheds protected. The percent of nearshore waters protected was assessed as the ratio of the area of marine managed areas per West Hawaii region, excluding the NOAA Marine Mammal Sanctuary Waters (NOAA Marine Protected Area (MPA) Inventory) spatial data layer available: http://geoportal.hawaii.gov/datasets/noaa-marine-protected-area-mpa-inventory) to the total area of state waters (coastline to 3nm) within each West Hawaii region. The percent of watersheds is the percent of Hawaii Island priority watersheds that have been fenced. Data comes from Emma Yuen DLNR/DOFAW. ",2011,2016,DLNR,http://geoportal.hawaii.gov/datasets/marine-managed-areas-dar?geometry=-165.4%2C19.079%2C-149.745%2C22.671,OfficeofPlanning,
BD,SPP,ESA coastal plant status,spp_ESA_status,spp_ESA_status.csv,The list of Hawaii coastal plant species and status of coastal sand-dune plants scored based on ESA status.,"The list of Hawaii coastal plant species and status of coastal sand-dune plants scored based on ESA status. Species lists and classification comes from (Merlin, 1999)Merlin 1999. ESA data comes from the US Fish and Wildlife Service ECOS Environmental Conservation Online System (https://ecos.fws.gov/ecp/).",,,Fish and Wildlife Service,https://ecos.fws.gov/ecp/,Merlin1999,USFishWildlifeService
BD,SPP,ESA marine mammal status,spp_ESA_status,spp_ESA_status.csv,The list of marine mammals found in Hawaii and status of marine mammals scored based on ESA status.,The list of marine mammals found in Hawaii and status of marine mammals scored based on ESA status. ESA status is for Hawaii or regional populations and population status reports can be found at NOAA Fisheries (http://www.nmfs.noaa.gov/pr/sars/species.htm). ,,,US Fish and Wildlife Service; NOAA Hawaii marine mammal list,http://www.fisheries.noaa.gov/pr/sars/species.htm#largewhales; https://ecos.fws.gov/ecp/,NOAAFisheries,Costa2016
BD,SPP,ESA seabird and coastal bird status,spp_ESA_status,spp_ESA_status.csv,The list of seabirds and coastal birds scored based on ESA status and State of the Birds watch lists.,The list of seabirds and coastal birds scored based on ESA status and State of the Birds watch lists. Species lists and status from Coasta and Kendall 2016. ESA data comes from the US Fish and Wildlife Service ECOS Environmental Conservation Online System (https://ecos.fws.gov/ecp/) and the State of the Birds Watch List (Rosenberg et al. 2014). Species scores are based on ESA status and watch list status. ,,,"Costa, Bryan; Kendall, Matthew (2016). Marine Biogeographic Assessment of the Main Hawaiian Islands: Synthesized physical and biological data offshore of the Main Hawaiian Islands from 1891-01-01 to 2015-03-01 (NCEI Accession 0155189). Version 1.1. NOAA National Centers for Environmental Information. Dataset. doi:10.7289/V56H4FG9 May 15, 2017",http://www.stateofthebirds.org/2014/extinctions/watchlist.pdf; https://www.fws.gov/endangered/,Rosenberg2010,USFishWildlifeService
FP,MAR,fishpond status,mar_fishpond_health,mar_fishpond_health_whi2018.csv,"Ratio of active fishponds to historical number, process of updating this metric with KUA and TNC.","Ratio of active fishponds to historical number, process of updating this metric with KUA and TNC.",,,TNC updated fishpond layer,,OgdenEnvironmentalServices1994,
CW,,forest health,hd_allien_veg,hd_allien_veg_whi2018.csv,The percent of native forests dominated by non-native species.,"The percent of native forests dominated by non-native species. All calculations based on LandFire 2014 data (LF 1.4.0), 30m resolution. Albers equal area conic projection. Data were summarized by watershed and are presented as percent total alien vegetation per watershed (hd_allien_vg_by_watershed_whi2018.csv) and averaged across watersheds for each West Hawai’i region (hd_allien_vg_whi2018.csv). Watershed data from USGS National Hydrography Dataset Watershed Boundaries (HUC12).",,,Landfire,https://www.landfire.gov/about.php,LANDFIRE2008,
PRESSURE,,habitat destruction from dredging,hd_dredging,hd_dredging_whi2018.csv,Dredging was defined as activity involving physically removing substrate with machinery typically to allow for safe passage of vessels. Units are in km2.,Dredging was defined as activity involving physically removing substrate with machinery typically to allow for safe passage of vessels. Dredging was summarized to soft bottom coastal areas within state waters. Data comes from Ocean Tipping Points (http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data). Units are in km2.,,,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data,Wedding2017,OTP
CW,,land-based sediment export to nearshore water,po_lbsp_sed,po_lbsp_sed_whi2018.csv,Mean sediment load to nearshore waters (1.5km).,Mean sediment load to nearshore waters (1.5 km) averaged to West Hawaiʻi regions. Data comes from Ocean Tipping Points (http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data).,,,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data,Wedding2017,OTP
CW,,land-based source of pollution from agriculture and golf courses,po_lbspaggolfrunoff,po_lbspaggolfrunoff_whi2018.csv,"The proxy for agricultural and landscaping runoff (nutrients from fertilizers; chemicals like pesticides and herbicides), calculated as the area of agricultural land and golf courses by watershed with a maximum. stressor level set at 10% of watershed area.",The proxy for agricultural and landscaping runoff (nutrients from fertilizers; chemicals like pesticides and herbicides). Data were summarized by watershed and are presented as the ratio of the area of agricultural land and golf courses by watershed (full data in layers_whi/watershed_land_use_whi2018.csv) to the maximum stressor value of 10% of watershed area. Mean watershed scores are given for West Hawai’i regions. Watershed data from USGS National Hydrography Dataset Watershed Boundaries (HUC12). Agriculture and golf course data comes from the NOAA C-CAP 2010/2011 hi-resolution GIS layer (https://coast.noaa.gov/digitalcoast/tools/lca).,,,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data,Wedding2017,OTP
CW,,land-based source of pollution from urban runoff,po_lbspurbanrunoff,po_lbspurbanrunoff_mhi2017.csv,A proxy for nutrient and chemical pollution measured as the percent of impervious surfaces per watershed with a maximum stress level set at 10% of watershed area.,The proxy for nutrient and chemical pollution. Data were summarized by watershed (full data in layers_whi/watershed_land_use_whi2018.csv) and are presented as the ratio of impervious surfaces by watershed set to the maximum stressor value of 10% of watershed area. Mean watershed scores are given for West Hawai’i regions. Watershed data from USGS National Hydrography Dataset Watershed Boundaries (HUC12). Impervious surface data comes from the NOAA C-CAP 2010/2011 hi-resolution GIS layer (https://coast.noaa.gov/digitalcoast/tools/lca).,,,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data,Wedding2017,OTP
CW,,land-based source of pollution nitrogen,po_lbsp_nosds,po_lbsp_nosds_whi2018.csv,Mean nitrogen flux from on site disposal systems (OSDS) into nearshore waters (1.5 km from shore).,Mean nitrogen flux from on-site disposal systems (OSDS) into nearshore waters (1.5 km from shore). Data comes from Ocean Tipping Points (http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data).,,,modified from Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data,Wedding2017,OTP
FP,MAR,mariculture yield,mar_harvest,mar_harvest_whi2018.csv,"Production of shellfish and foodfish from mariculture facilities, assumes that all Hawaii Island operators are in West Hawaii.","Production of shellfish and foodfish from mariculture facilities from Hawaii Island. The production (yield: lbs. of seafood) is reported at the state level (HDA). To get county level estimates of production the yield of finfish and shellfish produced at the state level were multiplied by the estimated number of finfish and shellfish operators by county. The number of operators are reported to USDA via census every 5 years (2002, 2007, 2012) (USDA). To fill in annual data gaps in operators, linear regression models were used. Data are reported from 2007-2011. An additional data layer is in the prep_WH folder under the MAR folder “mar_harvest_state_of_hawaii.csv” and has the full data for the State of Hawaii which includes pounds (lbs), tonnes, and value (dollar value) of yield from shellfish and finfish mariculture. ",2007,2011,State of Hawaii DOA,http://hdoa.hawaii.gov/,USDA2015,
RC,,monthly participation in recreational activities,rc_participation,r_participation_whi2018.csv,"The monthly participation rates in any ocean or coastal activity for Hawaii Island residents. The NOAA Coral Reef Conservation Program 2014 socioeconomic surveys of human use, knowledge, attitudes, and perceptions in Hawaii.","The annual participation rate in any ocean and coastal activity from the NOAA Coral Reef Conservation Program 2014 socioeconomic surveys of human use, knowledge, attitudes, and perceptions in Hawaii (Gorstein et al., 2018). Data is for 2016 as this was the first year of this assessment and responses to the survey are representative for Hawaii Island. Socio-economic division began surveys to track the frequency of recreational activities in Hawai’i in 2016 and these surveys are planned to be repeated every 5-7 years. Raw data is in the prep_WHI folder under SP and in the folder Eva_Schemmel_NCRMP_Hawaii_data. This data was obtained through a formal data request to NOAA through contact Jarrod Loerzel (jarrod.loerzel@noaa.gov). ",,,NOAA Coral Reef Conservation Program ,,EdwardsPLoerzelJLevineA2014,
RESILIENCE,,nearshore management areas,lsp_mpa_3nm,lsp_mpa_3nm_whi2018.csv,"The area of marine managed areas (including BFRA, MPA, FMA).","The area of nearshore waters protected was assessed as the area of marine managed areas per West Hawaii region, excluding the NOAA Marine Mammal Sanctuary Waters (NOAA Marine Protected Area (MPA) Inventory) spatial data layer available: http://geoportal.hawaii.gov/datasets/noaa-marine-protected-area-mpa-inventory).",,,"NOAA MPA spatial data layer (management areas include no take, multiple use, national parks, and santucary waters",http://geoportal.hawaii.gov/datasets/marine-managed-areas-dar?geometry=-165.4%2C19.079%2C-149.745%2C22.671,OfficeofPlanning,
RESILIENCE,,nearshore state waters,lsp_area_3nm,lsp_area_3nm_whi2018.csv,The area of state waters (within 3nm of the coastline).,The total area of state waters (coastline to 3nm) within each West Hawaii region.,,,,http://geoportal.hawaii.gov/datasets/marine-managed-areas-dar?geometry=-165.4%2C19.079%2C-149.745%2C22.671,OfficeofPlanning,
FP,MAR,number of fishponds ,mar_fishpond_numbers,mar_fishpond_numbers_whi2018.csv,"The current number of fishponds, in the process of updating this metric with KUA and TNC.","The current number fishponds in each West Hawaii region. Layer prepared by Ogden Environmental Services 1994 (Ogden Environmental Services, 1994). This layer is being updated by The Nature Conservancy. The total updated number of fishponds for Hawaii Island is 53, including many different types of fishponds, and the historic number of fishponds from the 1990 study lists 138 fishponds for Hawaii Island (DHM inc et al., 1990).",2017,2017,TNC updated fishpond layer,,OgdenEnvironmentalServices1994,
LE,LIV,ocean and coastal jobs,le_jobs,le_jobs_whi2018.csv,The total number of jobs per ocean sector for Hawaii County.,"The total number of jobs per ocean sector for Hawaii County. Data comes from the NOAA ENOW database (https://coast.noaa.gov/digitalcoast/tools/enow.html). Dataset covers from 2005-2014 and is at the County scale. Sectors include: Marine Construction, Living Resources, Ship and Boat Building, Tourism and Recreation, and Marine Transportation (Table #).  Self-employed and state employed data sets were aggregated and summarized by county. However, when aggregated to county some of the information was undisclosed therefore this data represents a conservative estimate of ocean livelihoods. Blank values indicate that no data is available for that sector and year (the number of employed in the sector is too low to report and maintain confidentiality or there were no employees in that sector).",2005,2013,NOAA ENOW ,https://coast.noaa.gov/digitalcoast/tools/enow.html,ENOW2017,
LE,ECO,ocean and coastal revenue,le_gdp,le_gdp_whi2018.csv,The revenue generated per ocean sector for Hawaii County.,"The total revenue per ocean sector for Hawaii County. Data comes from the NOAA ENOW database (https://coast.noaa.gov/digitalcoast/tools/enow.html). Dataset covers from 2005-2014 and is at the County scale. Sectors include: Marine Construction, Living Resources, Ship and Boat Building, Tourism and Recreation, and Marine Transportation (Table #).  Data sets were aggregated and summarized by county. However, when aggregated to county some of the information was undisclosed therefore this data represents a conservative estimate of ocean economies. Blank values indicate that no data is available for that sector and year. ",2005,2013,NOAA ENOW ,https://coast.noaa.gov/digitalcoast/tools/enow.html,ENOW2017,
LE,ECO,ocean and coastal sector mean wages,le_wage,le_wages_whi2018.csv,The mean wage per ocean sector for Hawaii County.,"The average wage per ocean sector for Hawaii County. Data comes from the NOAA ENOW database (https://coast.noaa.gov/digitalcoast/tools/enow.html). Average wage was calculated by dividing the total wages per sector by the number employed per sector. Dataset covers from 2005-2014 and is at the County scale. Sectors include: Marine Construction, Living Resources, Ship and Boat Building, Tourism and Recreation, and Marine Transportation (Table). Self-employed and state employed data sets were aggregated and summarized by county. However, when aggregated to county some of the information was undisclosed therefore this data represents a conservative estimate of ocean economies. Blank values indicate that no data is available for that sector and year. ",,,NOAA ENOW ,https://coast.noaa.gov/digitalcoast/tools/enow.html,ENOW2017,
FP,MAR,operations,mar_operations,mar_operations_whi2018.csv,The number of mariculture operators.,"The number of shellfish and finfish operators in Hawaii county reported to the USDA via the census every 5 years (2002, 2007, 2012) (USDA). Data available: https://quickstats.nass.usda.gov/. To fill in annual data gaps linear regression models were used.",2002,2011,USDA,https://quickstats.nass.usda.gov/,USDA,
FP,FIS,commerical pelagic fisheries  catch,fis_pelagic_catch,fis_pelagic_catch_whi2018.csv,Pelagic fish catch (lbs.) reported in the commercial fishery.,"The pelagic fish catch (lbs.) reported in the commercial fishery. Data comes from DLNR DAR by official data request. Annual catch data is reported to species and region (North West Hawaii (DAR commercial reporting blocks 123, 122, 103, and 102) and South West Hawaii (DAR commercial reporting blocks 121, 120, 101, and 100) from 2012-2017. Raw data available: https://github.com/OHI-Science/whi/blob/master/prep_whi/FIS/FW%253a_fisheries_data_request/ciwhiispecies2012_2017.xls.",2012,2016,DLNR-DAR,http://dlnr.hawaii.gov/dar/fishing/commercial-fishing/,DLNRDAR,
BD,HAB,reef condition,hab_health_whi,hab_health_whi2018.csv,"The benthic condition of coral reefs assessed through a combination of variables including percent coral cover, percent macroalgae cover, demography, and mortality.","Coral reef extent was assessed from the cumulative impact mapping layers that combine hard bottom and coral reef habitats to a depth of 30 meters (Lecky, 2016). Coral reef condition was assessed through a coral reef index, which is a measure of coral reef health from combined indicators for coral cover, macroalgae (limu), coralline algae, and the ratio of calcifiers (corals and coralline algae) to non calcifiers (limu), coral mortality, juvenile coral density, and adult coral density. The coral reef index comes from the NOAA Hawai'i coral reef status report (NOAA in prep).",,,NOAA report card,in review,NOAACoralReefConservationProgramandUniversityofMarylandCenterforEnvironmentalScience,
BD,HAB,reef extent,hab_extent_whi,hab_extent_whi2018.csv,The hard bottom extent out to 30 meters modified from NOAA habitat maps.,"Coral reef extent was assessed from the cumulative impact mapping layers that combine hard bottom and coral reef habitats to a depth of 30 meters (Lecky, 2016). ",,,Lecky 2016 Ecosystem vulnerability and mapping cumulative impacts on Hawaiian reefs,,Lecky2016,
PRESSURE,,reef fishing catch,fp_reeffish_t,fp_reeffish_t_whi2018.csv,The modeled reef fish catch from commercial and recreational fishery taking into account shoreline accessibility (kg per km2).,The modeled reef fish catch from commercial and recreational fishery taking into account shoreline accessibility (kg per km2). Data comes from Ocean Tipping Points (http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data).,,,Ocean Tipping Points,http://www.pacioos.hawaii.edu/projects/oceantippingpoints/#data,Wedding2017,OTP
BD,HAB,reef trend,hab_trend_whi,hab_trend_whi2018.csv,The estimated change in percent coral cover calculated from the past 5 years of available monitoring data from NOAA Coral Reef Ecosystem Program.,"Trend in coral reef health was assessed as the change in coral cover from 2011-2012 to 2016 surveys from the Main Hawaiian Islands (McCoy et al., 2017).",,,NOAA CREP 2017 Report,https://www.pifsc.noaa.gov/cred/monitoring_status_reports.php,McCoy2017,
TR,,resident sentiment,t_sentiment,t_sentiment_whi2018.csv,The Hawaii Tourism Authority's survey on resident sentiment to tourism.,"Resident sentiment scores on the preservation of social and cultural values estimated though HTA visitor sentiment surveys (HTA, 2017). Data available: http://www.hawaiitourismauthority.org/research/reports/evaluation-performance-measures/. Contact for official datasets from the Hawaii Tourism Authority is Jennifer Chun (jennifer@gohta.net). Three questions have been asked consistently and thus have time-series information. Responses to these questions were used to score the sentiment of residents on the benefits and impact of tourism in Hawaiʻi. The three questions were to rate the level of impact and agreement on: 1. Rate the overall impact of tourism on your family, 2. Tourism has brought more benefits than problems, and 3. The island is being run for the tourists at the expense of the local people. The three questions were normalized to a score from 0 to 100 with 100 being positive or agreement on positive impacts of tourism for residence of Hawaiʻi. Questions were averaged and scored to a reference value of 80 as set by the Hawaiʻi Tourism Authority as their target acceptance rate (HTA, 2017).",2011,2015,HTA,http://www.hawaiitourismauthority.org/research/reports/visitor-satisfaction/,hta_survey_2017,HTA evaluation and performance measures
